"Story","Title","Result","Date","Stability","Duration (s)"
"Crear una cuenta de usuario","Crear una cuenta satisfactoriamente","SUCCESS","2022-03-26T21:12:45.256-05:00[America/Bogota]","0.0","20.04"
"Crear una cuenta de usuario","Crear una cuenta con una contrasenia incorrecta","SUCCESS","2022-03-26T21:13:06.203-05:00[America/Bogota]","0.0","18.39"
