"Story","Title","Result","Date","Stability","Duration (s)"
"Enviar un mensaje a la empresa","Envio con formulario completo","SUCCESS","2022-03-26T21:11:32.412-05:00[America/Bogota]","0.0","13.9"
"Enviar un mensaje a la empresa","Envio con email incorrecto","SUCCESS","2022-03-26T21:11:47.274-05:00[America/Bogota]","0.0","9.72"
